spend_time,denom,amount,marker_time,drop_time,pre_balance,impact_pct,observed_weekly_delta,residual_vs_expected,title,recipient
2022-05-02T00:00:00Z,ustc,1006733194.000000,2022-05-01T00:00:00Z,2022-05-08T00:00:00Z,1052695195.405789,95.633874,-2011999.973046,1004721194.026954,Burn The Remaining UST in the Community Pool + Cross-Chain Liquidity Incentive UST 2,terra1sk06e3dyexuq4shw77y3dsv480xv42mq73anxu
2022-11-04T00:00:00Z,ustc,1600000.000000,2022-10-30T00:00:00Z,2022-11-06T00:00:00Z,1621966.151605,98.645708,110697.439225,1710697.439225,Promote Chain Utility via the Establishment of the Terra Grants Program,terra1mk7qfn9u6qn2afeytlsruk7ew8emxst3cw0c5f
2022-12-15T00:00:00Z,lunc,937500000.000000,2022-12-11T00:00:00Z,2022-12-18T00:00:00Z,2069535465.862749,45.300021,-658755756.956754,278744243.043246,Separation of Rebel Station from TFL backend infrastructure and assets,terra1karkwrmgj0a2qahu8aejwe9ymkhknvctmqmp6x
2023-01-02T00:00:00Z,lunc,908000000.000000,2023-01-01T00:00:00Z,2023-01-08T00:00:00Z,1875724965.181429,48.407950,-844133229.456631,63866770.543369,Joint L1 Task Force,terra1mk7qfn9u6qn2afeytlsruk7ew8emxst3cw0c5f
2023-04-01T00:00:00Z,lunc,976918731.000000,2023-03-26T00:00:00Z,2023-04-02T00:00:00Z,1617911645.125150,60.381464,49133557.548470,1026052288.548470,Q2 Joint L1 Task Force Proposal with Amendments,terra1mk7qfn9u6qn2afeytlsruk7ew8emxst3cw0c5f
2023-04-01T00:00:00Z,lunc,305385865.000000,2023-03-26T00:00:00Z,2023-04-02T00:00:00Z,1617911645.125150,18.875312,49133557.548470,354519422.548470,Running costs and technical support of Rebel Station Infrastructure for three months (v2),terra10w7dmaj6nph8ta6ehwa70pzqw08tjgjle45xxq
2023-07-03T00:00:00Z,lunc,222222222.000000,2023-07-02T00:00:00Z,2023-07-09T00:00:00Z,458913375.377277,48.423566,94447191.617987,316669413.617987,USTC / Stable Algo Quant Team,terra1n78s7qdflvxk4xn00yl9jrpmg8e578zx09r494
2023-07-03T00:00:00Z,lunc,1263670817.000000,2023-07-02T00:00:00Z,2023-07-09T00:00:00Z,458913375.377277,275.361514,94447191.617987,1358118008.617987,Joint L1 Task Force Q3 Proposal (Correct Version),terra1jzwg8lgqzxymnpz4va7dfumgzkqzrll5v62cq4
2023-07-03T00:00:00Z,lunc,484366666.000000,2023-07-02T00:00:00Z,2023-07-09T00:00:00Z,458913375.377277,105.546426,94447191.617987,578813857.617987,Running costs and technical support of Terra Classic Infrastructure for Q3,terra10w7dmaj6nph8ta6ehwa70pzqw08tjgjle45xxq
2023-09-02T00:00:00Z,lunc,318217979.000000,2023-08-27T00:00:00Z,2023-09-03T00:00:00Z,1514472489.810118,21.011803,-223123437.150843,95094541.849157,USTC / Stable Algo Quant Team - Month 2/2 Round 2,terra1n78s7qdflvxk4xn00yl9jrpmg8e578zx09r494
2024-01-30T00:00:00Z,lunc,160000000.000000,2024-01-28T00:00:00Z,2024-02-04T00:00:00Z,4079834835.403737,3.921727,-50253117.241333,109746882.758667,Genuine Labs's Community Spend Proposal,terra1skahyp7dzcu5uu2jarresqhnsn99mz6pd7r57d
2024-06-10T00:00:00Z,lunc,256410256.000000,2024-06-09T00:00:00Z,2024-06-16T00:00:00Z,5255128695.691155,4.879238,79776210.968171,336186466.968171,Genuine Labs's Community Spend Proposal,terra1skahyp7dzcu5uu2jarresqhnsn99mz6pd7r57d
2024-08-10T00:00:00Z,lunc,50998725.000000,2024-08-04T00:00:00Z,2024-08-11T00:00:00Z,6608537684.226762,0.771710,-17411116.961555,33587608.038445,LuncGoblin's Spend Proposal,terra14qk5u5yqhz9w3snz5mdl0ve5awgtjrpfy0rsjh
2024-12-27T00:00:00Z,lunc,23864258.000000,2024-12-22T00:00:00Z,2024-12-29T00:00:00Z,8172454135.911765,0.292008,7348469.402505,31212727.402505,OrbitLabs' Review of Reverse Charge Tax Mechanism,terra1jcdhx3ddlpunyu40ufd2z3j3wx70v2ehg9ul7y
2025-01-01T00:00:00Z,lunc,48356000.000000,2024-12-29T00:00:00Z,2025-01-05T00:00:00Z,8179802605.314270,0.591163,36783200.965813,85139200.965813,BLVLabs Spending Proposal (Improve GOV module proposal #12137),terra16r0fdcyy6whsfx9nxfx5zhhdwte59kaf3jm502
2025-02-22T00:00:00Z,lunc,204603580.000000,2025-02-16T00:00:00Z,2025-02-23T00:00:00Z,8913029329.256769,2.295556,-153079835.198582,51523744.801418,Spend Proposal for the first phase of OrbitLabs' Removal of Forked Modules from Terra,terra1jcdhx3ddlpunyu40ufd2z3j3wx70v2ehg9ul7y
2025-03-01T00:00:00Z,lunc,32669062.000000,2025-02-23T00:00:00Z,2025-03-02T00:00:00Z,8759949494.058187,0.372937,159192459.786007,191861521.786007,Request for funds to compensate additional development work in `v3.4.0` upgrade.,terra1jcdhx3ddlpunyu40ufd2z3j3wx70v2ehg9ul7y
2025-03-28T00:00:00Z,lunc,24298425.000000,2025-03-23T00:00:00Z,2025-03-30T00:00:00Z,8969848094.199123,0.270890,877881.976391,25176306.976391,Compensation for Development & Audit Work for Proposal 121,terra1wun64uuszwc6wn3pmy4w592j0dp0677tfjxxzj
2025-05-21T00:00:00Z,lunc,756429652.042000,2025-05-18T00:00:00Z,2025-05-25T00:00:00Z,9205440596.918365,8.217202,-1444923881.334038,-688494229.292038,(Fixed) Request to Inject Liquidity for Terraswap DEX as Outlined by Proposal 12171,terra132qeqedz0yztuztj0rjav4rzlkashpsdxsmh64jpgp2ul0wdlkzquzvln6
2025-05-21T00:00:00Z,lunc,711136395.960745,2025-05-18T00:00:00Z,2025-05-25T00:00:00Z,9205440596.918365,7.725175,-1444923881.334038,-733787485.373293,Revisiting Proposal 1217 to Inject Liquidity for Terraport LUNC/USDC,terra132qeqedz0yztuztj0rjav4rzlkashpsdxsmh64jpgp2ul0wdlkzquzvln6
2025-06-02T00:00:00Z,lunc,792267469.497702,2025-06-01T00:00:00Z,2025-06-08T00:00:00Z,7000163829.211236,11.317842,42708779.479770,834976248.977472,Request to Inject Liquidity for Garuda Defi as Outlined by Proposal 12171,terra132qeqedz0yztuztj0rjav4rzlkashpsdxsmh64jpgp2ul0wdlkzquzvln6
2025-06-15T00:00:00Z,lunc,133000000.000000,2025-06-15T00:00:00Z,2025-06-22T00:00:00Z,7071697859.780434,1.880736,-58952247.180951,74047752.819049,BLVLabs Spending Proposal (Enabling Wallet Whitelisting #1211),terra16r0fdcyy6whsfx9nxfx5zhhdwte59kaf3jm502
2025-10-01T00:00:00Z,lunc,500000000.000000,2025-09-28T00:00:00Z,2025-10-05T00:00:00Z,7939644161.885580,6.297511,50151587.543627,550151587.543627,Spending Proposal for Phase 2 of OrbitLabs' Removal of Forked Modules from Terra,terra1gfdpna8xkxhergv37lkpjq67txergkhz83v2fv
2025-11-03T00:00:00Z,lunc,254582484.725050,2025-11-02T00:00:00Z,2025-11-09T00:00:00Z,7693696077.706350,3.308975,-71530603.369811,183051881.355239,Fund IBC Relaying Activity,terra1jf47h267hvm9sa456j9jkzgjnaddm3pwglr5tl
2026-01-29T00:00:00Z,lunc,1045997684.000000,2026-01-25T00:00:00Z,2026-02-01T00:00:00Z,8487235971.954781,12.324362,-1002430891.342724,43566792.657276,Spending Proposal: Terra Classic Upgrade to Cosmos SDK v0.53 with IBC v2 (Eureka),terra1dmqa34vl5u4hfnftkwh57dn96hrvx6p8rwe86v
